2001,6,21,12,04,46,127
2002,12,4,07,32,16,142
2003,11,23,22,50,22,152
2006,3,29,10,12,23,139
2008,8,1,10,22,12,126
2009,7,22,02,36,25,136
2010,7,11,19,34,38,146
2012,11,13,22,12,55,133
2015,3,20,09,46,47,120
2016,3,9,01,58,19,130
2017,8,21,18,26,40,145
2019,7,2,19,24,08,127
2020,12,14,16,14,39,142
